"地域別等","漁業経営体数経営体","漁船_計_隻","漁船_無動力_隻漁船隻数隻","漁船_船外機付漁船隻数＿隻","漁船_動力漁船隻数_隻","漁船_動力漁船_トン数_T","11月１日現在の海上作業従事者_計_人","11月１日現在の海上作業従事者_家族_小計_人","11月１日現在の海上作業従事者_家族_男_人","11月１日現在の海上作業従事者_家族_女_人","11月１日現在の海上作業従事者_雇用者_人","陸上作業最盛期の陸上作業従事者数_計_人","陸上作業最盛期の陸上作業従事者数_計_男_人","陸上作業最盛期の陸上作業従事者数_計_女_人","陸上作業最盛期の陸上作業従事者数_家族_小計_人","陸上作業最盛期の陸上作業従事者数_家族_男_人","陸上作業最盛期の陸上作業従事者数_家族_女_人","陸上作業最盛期の陸上作業従事者数_雇用者_小計_人","陸上作業最盛期の陸上作業従事者数_雇用者_男_人","陸上作業最盛期の陸上作業従事者数_雇用者_女_人","新規就業者_計_人","新規就業者_個人経営体の自営漁業のみ_人","新規就業者_個人経営体の自営漁業のみ_うち11月１日現在の海上作業従事者_人","新規就業者_漁業雇われ_人"
"和歌山県","2033.0","2892.0","34.0","687.0","2171.0","11453.0","2701.0","1681.0","1639.0","42.0","1020.0","4005.0","2734.0","1271.0","2864.0","2052.0","812.0","1141.0","682.0","459.0","10.0","4.0","4.0","6.0"
"和歌山県（瀬戸内海区）","752.0","1051.0","2.0","184.0","865.0","5231.0","1021.0","647.0","633.0","14.0","374.0","1542.0","962.0","580.0","1143.0","804.0","339.0","399.0","158.0","241.0","4.0","2.0","2.0","2.0"
"和歌山県（瀬戸内海区）_和歌山市","191.0","212.0"," -","5.0","207.0","1066.2","215.0","150.0","148.0","2.0","65.0","339.0","223.0","116.0","285.0","197.0","88.0","54.0","26.0","28.0"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_和歌山市_加太","92.0","102.0"," -"," -","102.0","296.1","58.0","58.0","56.0","2.0"," -","118.0","98.0","20.0","118.0","98.0","20.0"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_和歌山市_西脇","5.0","11.0"," -"," -","11.0","82.9","17.0","7.0","7.0"," -","10.0","7.0","7.0"," -","7.0","7.0"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_和歌山市_雑賀崎","69.0","69.0"," -"," -","69.0","491.4","104.0","69.0","69.0"," -","35.0","174.0","92.0","82.0","127.0","70.0","57.0","47.0","22.0","25.0"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_和歌山市_田野浦","9.0","9.0"," -","1.0","8.0","91.8","13.0","9.0","9.0"," -","4.0","19.0","9.0","10.0","18.0","9.0","9.0","1.0"," -","1.0"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_和歌山市_和歌浦","7.0","16.0"," -"," -","16.0","102.3","22.0","6.0","6.0"," -","16.0","13.0","10.0","3.0","7.0","6.0","1.0","6.0","4.0","2.0"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_和歌山市_和歌川","6.0","-"," -"," -"," -"," -"," -"," -"," -"," -"," -","6.0","6.0"," -","6.0","6.0"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_和歌山市_布引"," -","-"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
